Comment,Designator,Footprint,LCSC,Quantity
1.2k,R3,R_0402_1005Metric,C100219,1
6.2k,R2,R_0402_1005Metric,C100499,1
20p,"C10,C11",C_0402_1005Metric,C106203,2
10u,"C1,C2",C_0402_1005Metric,C15525,2
100n,"C3,C4,C5,C6,C7,C8,C9",C_0402_1005Metric,C159816,7
2.2u,"C12,C13",C_0402_1005Metric,C170151,2
1N4148WS,D2,D_SOD-323,C2128,1
100,"R1,R4",R_0402_1005Metric,C25138,2
470,R7,R_0402_1005Metric,C25167,1
510R,R5,R_0402_1005Metric,C25170,1
10k,R6,R_0402_1005Metric,C25531,1
1k,R8,R_0402_1005Metric,C25543,1
LED,D1,LED_0402_1005Metric,C434446,1
100R,"RN1,RN2",R_Array_Concave_4x0402,C48442,2
AMS1117-3.3,U1,SOT-89-3,C880752,1
8MHz,Y1,Crystal_SMD_3225-2Pin_3.2x2.5mm,C889706,1
LM321,U4,SOT-23-5,C9405,1
GD32F405RGT6,U3,LQFP-64_10x10mm_P0.5mm,C99031,1
C64-SID-Socket-hackup,U2,DIP-28_W15.24mm,,1
SWD,J1,PinHeader_1x02_P2.54mm_Vertical,,1
0,R10,R_0402_1005Metric,,1
33,R9,R_0402_1005Metric,,1
470,R11,R_0402_1005Metric,,1
470,R12,R_0402_1005Metric,,1
