Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0402_1005Metric,77.0,-90.25,0.0,bottom
C10,20p,C_0402_1005Metric,76.0,-113.0,180.0,bottom
C11,20p,C_0402_1005Metric,74.0,-113.0,180.0,bottom
C12,2.2u,C_0402_1005Metric,70.25,-93.75,270.0,bottom
C13,2.2u,C_0402_1005Metric,77.75,-92.5,90.0,bottom
C2,10u,C_0402_1005Metric,70.25,-110.0,270.0,bottom
C3,100n,C_0402_1005Metric,78.75,-92.5,90.0,bottom
C4,100n,C_0402_1005Metric,72.0,-91.52,270.0,bottom
C5,100n,C_0402_1005Metric,69.0,-94.75,90.0,bottom
C6,100n,C_0402_1005Metric,80.25,-94.25,180.0,bottom
C7,100n,C_0402_1005Metric,72.25,-110.0,270.0,bottom
C8,100n,C_0402_1005Metric,81.096,-105.769,270.0,bottom
C9,100n,C_0402_1005Metric,71.25,-110.0,270.0,bottom
D1,LED,LED_0402_1005Metric,72.5,-108.25,0.0,bottom
D2,1N4148WS,D_SOD-323,70.75,-88.75,180.0,bottom
J1,SWD,PinHeader_1x02_P2.54mm_Vertical,73.495,-115.75,90.0,top
R1,100,R_0402_1005Metric,79.25,-83.75,180.0,bottom
R10,0,R_0402_1005Metric,70.0,-84.0,270.0,bottom
R11,470,R_0402_1005Metric,80.5,-91.5,180.0,bottom
R12,470,R_0402_1005Metric,80.5,-92.5,180.0,bottom
R2,6.2k,R_0402_1005Metric,76.25,-83.5,90.0,bottom
R3,1.2k,R_0402_1005Metric,70.0,-86.25,270.0,bottom
R4,100,R_0402_1005Metric,69.0,-91.75,270.0,bottom
R5,510R,R_0402_1005Metric,76.0,-108.25,0.0,bottom
R6,10k,R_0402_1005Metric,80.0,-106.5,270.0,bottom
R7,470,R_0402_1005Metric,75.0,-83.5,90.0,bottom
R8,1k,R_0402_1005Metric,73.5,-87.5,180.0,bottom
R9,33,R_0402_1005Metric,75.5,-85.25,0.0,bottom
RN1,100R,R_Array_Concave_4x0402,78.75,-109.0,0.0,bottom
RN2,100R,R_Array_Concave_4x0402,80.5,-115.0,0.0,bottom
U1,AMS1117-3.3,SOT-89-3,79.0,-87.1,90.0,bottom
U2,C64-SID-Socket-hackup,DIP-28_W15.24mm,75.0,-99.5,0.0,top
U3,GD32F405RGT6,LQFP-64_10x10mm_P0.5mm,75.0,-100.25,90.0,bottom
U4,LM321,SOT-23-5,72.5,-84.25,90.0,bottom
Y1,8MHz,Crystal_SMD_3225-2Pin_3.2x2.5mm,75.0,-110.75,0.0,bottom
